views,painting,size,medium,title,artistCountry,creator,pubDate,artist_NoOfArts,artist_followers,materials,favoriteCount,subject,price,
871,Watercolor,405.6,Watercolor, Backwater of river Tisza Painting by Shandor Alexander,Ukraine,Shandor Alexander,1.31553E+12,299,453,Paper,18,Landscape,560,6.327936784
590,Acrylic,739.84,Acrylic Spray Paint Oil, The Devil Painting by Tibor Lazar,Serbia,Tibor Lazar,1.45161E+12,71,103,Wood,9,Mortality,990,6.897704943
1003,Watercolor,139.24,Watercolor, Fishes 1 Painting by Artur Samofalov,,Artur Samofalov,1.34387E+12,91,96,Paper,26,Fish,710,6.56526497
1023,Oil,2328.54,Oil, Red Velvet Painting by Fanny Nushka,France,Fanny Nushka,1.42007E+12,109,1719,Canvas,36,Women,5510,8.614319902
337,Oil,5863.43,Oil, The gift Painting by Barbora Kachlíková,Czech Republic,Barbora Kachlíková,1.38853E+12,14,5,Canvas,9,Abstract,7700,8.948975608
42,Acrylic,1728,Acrylic, Alice Painting by Eva Lewarne,Canada,Eva Lewarne,1.48323E+12,146,65,Canvas,2,People,3610,8.191463051
3154,Acrylic,1670.88,Acrylic Gesso Ink, Roman Bath Painting by Rusudan Khizanishvili,Georgia,Rusudan Khizanishvili,1.42007E+12,429,1820,Canvas,53,Interiors,5410,8.596004372
946,Acrylic,1920,Acrylic Oil Watercolor Marker Pastel, painting abstract painting by Jolina Anthony Painting by Jolina Anthony,Spain,Jolina Anthony,1.45161E+12,72,108,Canvas,25,Abstract,2030,7.615791072
75,Acrylic,576,Acrylic Paper Fabric, The Dance Painting by Joyce Pommer,United States,Joyce Pommer,1.45161E+12,8,5,Canvas,5,Abstract,2750,7.919356191
2910,Acrylic,720,Acrylic Ink Gouache Watercolor, Its Not Supposed to Work Painting by Kelly Puissegur,United States,Kelly Puissegur,1.45688E+12,252,1718,Wood,38,Love,1090,6.993932975
246,Acrylic and Oil,1833,Acrylic Oil, Morning Painting by Lyudmyla Bohuslavska,Ukraine,Lyudmyla Bohuslavska,1.45161E+12,74,43,Canvas,17,Landscape,2950,7.989560449
107,Oil,36,Oil, Study of Keita Painting by Caroline Ji,Canada,Caroline Ji,1.45161E+12,56,37,Wood,3,Portrait,310,5.736572297
334,Oil and Gesso,185.26,Oil Gesso, Barbara Painting by Jean-Luc Almond,United Kingdom,Jean-Luc Almond,1.45161E+12,60,422,Wood,8,Celebrity,2220,7.705262475
2851,Acrylic and cotton yarns,720,Acrylic cotton yarns, Winter Forest (framed) Painting by Jessy Cho,United States,Jessy Cho,1.357E+12,79,317,Canvas,35,Abstract,1990,7.595889918
784,Watercolor,185.26,Watercolor, Sandend Painting by Koen Lybaert,Belgium,Koen Lybaert,1.45161E+12,775,1508,Paper,32,Landscape,495,6.204557763
240,Acrylic,64,Acrylic, Untitled #30 Painting by Roman Laufer,Canada,Roman Laufer,1.48323E+12,69,5,Wood,7,Abstract,140,4.941642423
644,Acrylic,144,Acrylic, FRATERNAL RED Painting by Jill Sykes,United States,Jill Sykes,1.38853E+12,40,70,Wood Other,15,Botanic,560,6.327936784
664,Acrylic,2304,Acrylic Ink oil, Two Body Approximation Painting by Joseph Barka,United States,Joseph Barka,1.42007E+12,12,31,Canvas,26,Abstract,2550,7.843848638
310,Acrylic,992.25,Acrylic, Palm grove Painting by Nadya Lesnaya,Indonesia,Nadya Lesnaya,1.42007E+12,35,13,Canvas,12,Tree,1240,7.122866659
27,Oil,154,Oil Graphite Alkyd, Better Angels II Painting by Liz Zorn,United States,Liz Zorn,1.48323E+12,30,109,Wood,5,Abstract,445,6.098074282
708,Chalk and Pencil,388.09,Chalk Pencil, untitled . Painting by corinna wagner,Germany,corinna wagner,1.45161E+12,352,913,Canvas,23,Abstract,1079,6.983789965
4214,Acrylic,616,Acrylic, Interference Orange Painting by Gordon Sellen,Canada,Gordon Sellen,1.42007E+12,63,126,Canvas Wood,19,Abstract,940,6.845879875
57,Acrylic,535.04,Acrylic, Garden of birds Painting by Igors Bernats,Latvia,Igors Bernats,1.48323E+12,32,14,Canvas,3,Abstract,635,6.453624999
383,Acrylic,2227.84,Acrylic, Romance in Durango Painting by Gareth Kemp,,Gareth Kemp,1.44884E+12,35,74,Canvas,14,Landscape,3410,8.13446757
1116,Acrylic,1859.68,Acrylic, Wear it like a crown Painting by Jenny Lundgren,Sweden,Jenny Lundgren,1.39199E+12,32,161,Canvas,22,Portrait,3550,8.174702882
154,Oil,392.01,Oil, Medzhibozh 2016 Painting by Marianna Maslova,Ukraine,Marianna Maslova,1.45161E+12,58,8,Cardboard,8,Landscape,1640,7.402451521
167,Oil,2296,Oil Graphite Pencil, In Oberons Garden With Liberty Valence/ Levitating Near A Stock Pond. Painting by Paul Peterson,United States,Paul Peterson,1.357E+12,61,111,Canvas,6,Landscape,3050,8.02289687
689,Oil,66.74,Oil, Weight Painting by Owen Normand,Germany,Owen Normand,1.42007E+12,105,283,Wood,25,Still Life,445,6.098074282
445,Acrylic,556.96,Acrylic, AFRO Painting by Sandra Wadkin,United Kingdom,Sandra Wadkin,1.43571E+12,7,7,Wood Other,10,Abstract,1090,6.993932975
1152,Oil,1552.36,Oil, The Jebel Zaghwan Painting by Leo Jahaan,Germany,Leo Jahaan,1.38845E+12,34,142,Canvas,38,Landscape,4610,8.435983136
326,Oil,2304,Oil, Shaded Breeze Painting by Erin Hanson,United States,Erin Hanson,1.45161E+12,52,762,Canvas,42,Landscape,14750,9.598998362
1252,Acrylic,292.41,Acrylic, You think Im playing Painting by Stefan Doru Moscu,Romania,Stefan Doru Moscu,1.45161E+12,56,267,Canvas,52,Beach,950,6.856461985
1150,Oil,1486.8,Oil, STEEL BEAM Painting by Luigi Maria de Rubeis,Italy,Luigi Maria de Rubeis,1.27552E+12,106,155,Canvas,20,Architecture,1140,7.038783541
85,Oil,1489.95,Oil, Finding the Elsewhere Painting by Cesare Reggiani,Italy,Cesare Reggiani,1.45161E+12,19,28,Canvas,14,Landscape,3450,8.14612951
534,Oil,1200,Oil, Girl With Garden View Painting by karen lynn,United Kingdom,karen lynn,1.45161E+12,44,66,Canvas,14,Women,2710,7.904703914
1029,Oil,185.26,Oil, False Tropics Painting by Hannah Weatherhead,United Kingdom,Hannah Weatherhead,1.42007E+12,92,297,Wood,37,Abstract,650,6.476972363
104,Oil,768,Oil Paint Pastel Paper Gesso, Counting Sheep Painting by Katrina Jones,United States,Katrina Jones,1.45161E+12,100,50,Wood Paper,3,Animal,2250,7.718685495
556,Acrylic and Paint,1728,Acrylic Paint, Im free Painting by Maria Folger,United States,Maria Folger,1.48323E+12,80,336,Canvas,19,Portrait,2044,7.622663951
699,Acrylic,576,Acrylic, Night flowers Painting by Dominique Desmeules,Canada,Dominique Desmeules,1.42007E+12,54,32,Canvas,25,Floral,755,6.626717749
920,Oil,354.32,Oil, Under the tree Painting by Isao Tomoda,Japan,Isao Tomoda,1.25738E+12,58,48,Canvas,30,Women,4050,8.30647216
977,Oil,120,Oil, Italy - Below Santa Maria Nuova Cortona Painting by Frank Hobbs,United States,Frank Hobbs,1.38067E+12,25,21,Canvas,20,Landscape,1340,7.200424893
362,Watercolor,1440,Watercolor, Chinese watercolour Landscape painingwith heavy clour Painting by Weiping Li,China,Weiping Li,1.40167E+12,57,40,Paper,13,Landscape,3750,8.229511119
2219,Watercolor,1778.85,Watercolor, Eidetic Painting by David Antonides,Canada,David Antonides,1.06497E+12,71,273,Paper,13,People,6150,8.724207361
94,Oil and Acrylic,144,Oil Acrylic, Full Moon Painting by Claire Rees-Jones,United Kingdom,Claire Rees-Jones,1.48323E+12,52,30,Canvas,5,Outer Space,140,4.941642423
106,digital,80,digital, Eggplants Painting by Brian Zheng,United States,Brian Zheng,1.45161E+12,46,5,Aluminium Canvas,9,Food,430,6.063785209
340,Acrylic and Oil,432,Acrylic Oil, In the Light Painting by Tracie Cheng,,Tracie Cheng,1.42007E+12,46,375,Other,27,Abstract,1490,7.306531399
430,Oil,1296,Oil, Polaris Painting by Kim Kimbro,United States,Kim Kimbro,1.41489E+12,47,78,Canvas,17,Animal,3470,8.151909873
2873,Gouache and Watercolor,177.1,Gouache Watercolor, Self Portrait I Painting by Ute Rathmann,Germany,Ute Rathmann,9.78307E+11,408,1499,Paper,32,Portrait,260,5.560681631
1391,Watercolor,40,Watercolor, Bohemia Series 13 #15 Painting by Heather Goodwind,United States,Heather Goodwind,1.32581E+12,400,890,Paper,50,Landscape,290,5.669880923
65,Acrylic,4608,Acrylic, Passage III Painting by Kim Snyder,United States,Kim Snyder,1.45161E+12,12,0,Canvas,5,Abstract,9900,9.200290036
973,Watercolor,39,Watercolor, Flake #01 Painting by Shawn Sloan,United States,Shawn Sloan,1.42007E+12,38,50,Paper,35,Science,135,4.905274778
599,Acrylic,2025,Acrylic Spray Paint Gesso, [ DTLA ] Painting by JESSUS HERNANDEZ,United States,JESSUS HERNANDEZ,1.45161E+12,44,228,Wood,40,Geometric,5560,8.623353387
181,Watercolor,268.38,Watercolor, SN-1 Painting by OSCAR ALVAREZ,Spain,OSCAR ALVAREZ,1.48323E+12,259,580,Paper,10,Beach,560,6.327936784
857,Oil,320,Oil Ink Enamel, Let life live Painting by Joseph Laurro,United States,Joseph Laurro,1.42007E+12,55,41,Paper,13,Abstract,1475,7.296413269
562,Oil and Ink,1200,Oil Ink, Lilies I Painting by Steve Veatch,United States,Steve Veatch,1.24295E+12,19,24,Wood,33,Floral,2750,7.919356191
227,Oil,977.04,Oil, Untitled (on the clock) Painting by Steffen Vogelezang,Netherlands,Steffen Vogelezang,1.43502E+12,26,139,Canvas,5,Architecture,1540,7.339537695
461,Oil,2789.52,Oil, Lidée de la pluie. The idea of rain. Painting by Monica Forrer,Switzerland,Monica Forrer,1.44107E+12,108,169,Canvas,23,Abstract,3750,8.229511119
533,Acrylic,1380,Acrylic, Reef Shells Painting by Clint Eagar,United States,Clint Eagar,1.41998E+12,65,10,Canvas,16,Still Life,7150,8.874867636
2291,Acrylic and Oilpastells,743.4,Acrylic Oilpastells, Connenction - Tribute to Cy Painting by Anna Schueler,Germany,Anna Schueler,1.42914E+12,104,347,Canvas,100,Nature,2010,7.605890001
327,Watercolor,41.25,Watercolor, Seashells Painting by James Gloria,United States,James Gloria,1.45921E+12,54,5,Paper,6,Still Life,160,5.075173815
274,Acrylic,1241.1,Acrylic, La Diva Painting by Leena Nousiainen,France,Leena Nousiainen,1.45161E+12,77,305,Canvas,19,Portrait,3030,8.016317899
621,Acrylic,2227.84,Acrylic Tempera Ink Gesso, TOURS DE BABEL  2016 Painting by Hanna Sidorowicz,France,Hanna Sidorowicz,1.45161E+12,137,309,Canvas Paper,11,Architecture,5310,8.577347114
84,Acrylic,458.25,Acrylic, Cloud Forest Painting by Michelle Sutherland,United States,Michelle Sutherland,1.48323E+12,12,2,Canvas,8,Nature,1000,6.907755279
157,Oil,543.72,Oil, For Now I am Winter Painting by Joanna Sokolowska,Poland,Joanna Sokolowska,1.45161E+12,55,5,Canvas,7,Portrait,3250,8.086410275
431,Acrylic and Oil,2821.12,Acrylic Oil, Roads # 1 Painting by Ludmila Rashtanova,Ukraine,Ludmila Rashtanova,1.35968E+12,63,96,Canvas,6,People,3010,8.009695358
31,Oil,696.2,Oil, Black Painting by Stanislaw Mlyniec,Poland,Stanislaw Mlyniec,1.42007E+12,31,42,Canvas,0,Architecture,910,6.8134446
50,Oil,1200,Oil, Moon River Painting by Susan Prentice,United States,Susan Prentice,1.32538E+12,8,1,Canvas,4,Landscape,7500,8.9226583
608,Oil,992.25,Oil, Multitude 2 Painting by Marie-José Domenjoz,France,Marie-José Domenjoz,1.46068E+12,61,139,Canvas,31,Abstract,1190,7.081708586
483,Acrylic,1552.36,Acrylic, Vase with Vivid Flowers Painting by Simonida Djordjevic,Serbia,Simonida Djordjevic,1.45161E+12,70,190,Canvas,17,Still Life,1540,7.339537695
584,Watercolor,108,Watercolor, Hamptons Garden Painting by Christopher Van Owen,United States,Christopher Van Owen,1.45161E+12,17,22,Paper,32,Landscape,485,6.184148891
144,Acrylic,1440,Acrylic, We Did It Painting by Dick Evans,United States,Dick Evans,1.45161E+12,30,13,Canvas,7,Abstract,6150,8.724207361
1553,Oil,1253.16,Oil, Shes Nobodys Fool Painting by Sal Jones,United Kingdom,Sal Jones,1.42007E+12,28,42,Canvas,18,Pop Culture/Celebrity,2110,7.654443226
1039,Oil,5184,Oil, Wherever You Are #1 Painting by Susan Q Brown,United States,Susan Q Brown,1.29384E+12,25,11,Canvas,31,Aerial,13750,9.528794103
653,Acrylic,772.2,Acrylic, Bridge Painting by Ulugbek Doschanov,Russia,Ulugbek Doschanov,1.45161E+12,317,126,Paper,28,Abstract,185,5.220355825
510,Oil Paint and Ink,48.97,Oil Paint Ink, Everything a Selfie Painting by Theo Bunce,Taiwan,Theo Bunce,1.42664E+12,56,10,Paper,16,Portrait,195,5.272999559
50,Oil,80.58,Oil, Sheep Painting by Lizet Dingemans,United Kingdom,Lizet Dingemans,1.48323E+12,7,4,Wood,2,Animal,745,6.613384218
1269,Oil,1087.44,Oil, All In #27 Painting by Carla Sa Fernandes,Portugal,Carla Sa Fernandes,1.45161E+12,253,695,Canvas,32,Abstract,1890,7.544332108
2567,Oil,1080,Oil, Intersection Painting by Andrew Fish,United States,Andrew Fish,1.38853E+12,34,136,Canvas,124,Cities,2390,7.779048645
410,Watercolor and Ink,66.5,Watercolor Ink, tree 3 Painting by SANTHOSH C H,India,SANTHOSH C H,1.45161E+12,539,985,Paper,21,Nature,345,5.843544417
677,Oil,545.28,Oil, Brumes Matinales 2 Painting by Nicole Le Groumellec,France,Nicole Le Groumellec,1.32538E+12,82,14,Canvas,10,Horse,1230,7.114769448
546,Oil,64,Oil, The Light Pressed Up Against My Shoulder Blade Painting by Catherine Tyler Graffam,United States,Catherine Tyler Graffam,1.45161E+12,49,450,Wood,30,Portrait,560,6.327936784
726,Acrylic,320,Acrylic, design1WW Painting by Ron Halfant,United States,Ron Halfant,1.42007E+12,116,57,Canvas,24,Abstract,249,5.517452896
968,Acrylic,494.55,Acrylic Found Objects Ink Paper Textile, Love Painting by Xiaoyang Galas,France,Xiaoyang Galas,1.44055E+12,100,243,Canvas Paper Soft (Yarn Cotton Fabric) Other,42,Love,960,6.866933284
125,Acrylic,1600,Acrylic, Y mientras... Painting by Norberto Sayegh,Spain,Norberto Sayegh,1.45852E+12,29,8,Canvas,12,Abstract,2190,7.691656823
2089,Watercolor,300,Watercolor, Maddie Painting by Fiona Maclean,Australia,Fiona Maclean,1.42007E+12,230,649,Paper,26,Fashion,610,6.413458957
141,Acrylic,246.49,Acrylic, spring moon Painting by Randi Antonsen,Norway,Randi Antonsen,1.48323E+12,32,104,Canvas,9,Abstract,345,5.843544417
420,Acrylic and Gesso,400,Acrylic Gesso, Deliberated Ignorance Painting by Randall Jason Irvin,United States,Randall Jason Irvin,1.45161E+12,24,34,Canvas,35,Abstract,520,6.253828812
1613,Oil,309.29,Oil, D R S V Painting by János Huszti,Hungary,János Huszti,1.45161E+12,386,1077,Canvas,31,Portrait,660,6.492239835
678,Oil,1350,Oil, Like Father Like Sons Painting by Adrian Kay Wong,United States,Adrian Kay Wong,1.44366E+12,58,132,Canvas,14,Family,3250,8.086410275
2137,Acrylic,576,Acrylic Oil Paper, City Center Painting by Michelle Daisley Moffitt,United States,Michelle Daisley Moffitt,1.42007E+12,148,310,Canvas,45,Abstract,1005,6.91274282
749,Spray Paint,320.41,Spray Paint, Portrait works untitled Painting by Tomoya N,Japan,Tomoya N,1.45161E+12,171,137,Canvas,19,Portrait,960,6.866933284
50,Oil,2491,Oil, Between the bed and the rest Painting by Audun Alvestad,Norway,Audun Alvestad,1.48323E+12,2,3,Canvas,5,Interiors,4610,8.435983136
125,Acrylic,1394.76,Acrylic, Antique Mask Painting by Mikołaj Obrycki,Poland,Mikołaj Obrycki,1.48323E+12,146,459,Canvas,4,Portrait,6950,8.846496939
1799,Acrylic,992.25,Acrylic, The Agonizing Suspense Painting by Oleksandr Balbyshev,Ukraine,Oleksandr Balbyshev,1.45212E+12,120,484,Canvas,30,Erotic,690,6.536691598
63,Acrylic,1728,Acrylic, Untitled - A/34 Painting by Majid Eskandari,Canada,Majid Eskandari,1.48323E+12,67,374,Canvas,4,People,6700,8.809862805
789,Oil and Encaustic,1200,Oil Encaustic, Field at The Fingerlakes Painting by Cindy Avroch,United States,Cindy Avroch,1.42085E+12,21,2,Other,20,Landscape,3450,8.14612951
127,Oil,1087.44,Oil Pigment Varnish, Alive Series VI Painting by FINTAN WHELAN,Ireland,FINTAN WHELAN,1.48323E+12,187,649,Paper,17,Abstract,535,6.282266747
1498,Acrylic and Paper,1200,Acrylic Paper, Long Legs Painting by Sam Tudyk,United States,Sam Tudyk,1.38853E+12,71,238,Wood,28,Architecture,1650,7.408530567
141,Oil and Acrylic,2978.64,Oil Acrylic, Pauper Painting by Michał Cygan,Poland,Michał Cygan,1.38853E+12,20,4,Canvas Cardboard,9,Cities,2710,7.904703914
320,Oil,453.53,Oil, Da vicino (close) Painting by Elena Murer,Italy,Elena Murer,1.09149E+12,44,6,Paper,7,Landscape,760,6.633318433
57,Oil,1296,Oil, The Portrait of the thinker Painting by Yangyang pan,Canada,Yangyang pan,1.48323E+12,39,304,Canvas,3,Abstract,4010,8.29654652
177,Oil,1360,Oil, Cinqueterre Painting by Anika Savage,United States,Anika Savage,1.45161E+12,18,0,Canvas,4,Landscape,3045,8.02125618
373,Ink,729.54,Ink, Pines in Valleys Painting by Han Wang,China,Han Wang,1.42007E+12,25,1,Paper,6,Nature,2040,7.620705087
193,Oil,835.44,Oil, Smoke-binded Painting by Veronika Frolova,Latvia,Veronika Frolova,1.42007E+12,8,70,Canvas,9,Erotic,849,6.744059186
341,Oil,2210,Oil, Birds-eye View 10 Painting by Aviva Brooks,France,Aviva Brooks,1.45558E+12,28,11,Canvas Wood,12,Aerial,3250,8.086410275
326,Acrylic,121,Acrylic, The Path You Take Painting by Linda ONeill,United States,Linda ONeill,1.45161E+12,102,246,Paper,21,Abstract,290,5.669880923
227,Ink,384.09,Ink Gold leaf Graphite, Parvus Martyr I Painting by benjamin parker,United Kingdom,benjamin parker,1.45161E+12,37,176,Paper,8,Animal,830,6.721425701
371,Acrylic and Oil,1248,Acrylic Oil, Bonding Time Painting by Ibrahim-dada Disu,United Kingdom,Ibrahim-dada Disu,1.45161E+12,50,56,Canvas,12,Abstract,3250,8.086410275
426,Oil,403.56,Oil, Plitvice lakes Painting by Giovanni Pirondini,Italy,Giovanni Pirondini,1.43994E+12,79,26,Wood,11,Landscape,760,6.633318433
643,Acrylic and canvas,2227.84,Acrylic canvas, cycle- beginners mind Painting by sule attems,Austria,sule attems,1.3481E+12,3,5,Canvas,11,Abstract,4610,8.435983136
328,Oil,2880,Oil, Summer 10 Painting by Bill Stone,United States,Bill Stone,1.357E+12,322,176,Canvas,12,Abstract,2350,7.762170607
657,Acrylic,776.18,Acrylic, DREAM A LITTLE DREAM OF ME Painting by jean-humbert savoldelli,France,jean-humbert savoldelli,1.43303E+12,242,237,Canvas,17,Abstract,1390,7.237059026
312,Acrylic,93.22,Acrylic, Unfolding slowly - Innerscapes series Painting by justine formentelli,United Kingdom,justine formentelli,1.45161E+12,108,248,Other,7,Nature,520,6.253828812
2605,Acrylic,3714.64,Acrylic pigments ash, Time to wake up Painting by Michelle Hold,Italy,Michelle Hold,1.45161E+12,170,174,Canvas,25,Abstract,6050,8.707813551
656,Oil,2449.92,Oil, If there was only us? Painting by Anna McNeil,United Kingdom,Anna McNeil,1.45161E+12,107,530,Canvas,18,Children,4850,8.486733984
535,Acrylic,192,Acrylic, V-bwcs7 Painting by Seung Yean Cho,South Korea,Seung Yean Cho,1.45161E+12,72,48,Paper,33,Abstract,590,6.380122537
611,Silk Painting,662.15,Silk Painting, Frangipani at Night Painting by Stefanie Wilhelm,Austria,Stefanie Wilhelm,1.42007E+12,37,4,Soft (Yarn Cotton Fabric),6,Floral,265,5.579729826
789,Acrylic and Gesso,2400,Acrylic Gesso, Morning Sunshine Painting by Mary Bullock,United States,Mary Bullock,1.00984E+12,11,40,Canvas,19,Botanic,4410,8.391629968
35,Acrylic,400,Acrylic Oil Charcoal Pencil Screenprinting, #3192/untitled Painting by sheldon greenberg,United States,sheldon greenberg,1.45161E+12,24,2,Paper Wood,8,Abstract,700,6.551080335
78,Acrylic and Ink,864,Acrylic Ink, Honeymoon Painting by Victor Tkachenko,Canada,Victor Tkachenko,1.48323E+12,168,552,Canvas,8,Family,1845,7.520234556
679,Oil,2559.03,Oil, Mountain Painting by Grażyna Smalej,Poland,Grażyna Smalej,1.45161E+12,245,1209,Canvas,18,Nature,5710,8.649974303
293,Acrylic,864,Acrylic, The Promise 14 Painting by Cobie Cruz,Canada,Cobie Cruz,1.45161E+12,25,13,Canvas,20,Abstract,1270,7.146772179
332,Paper,1087.44,Paper Acrylic Ink, Sweet Life III Painting by Ozlem Habibe Mutaf Buyukarman,Turkey,Ozlem Habibe Mutaf Buyukarman,1.44115E+12,21,6,Paper,9,Popular culture,2950,7.989560449
320,Acrylic,144,Acrylic, Tranquility Painting by Anahid Minatsaghanian,United States,Anahid Minatsaghanian,1.45161E+12,22,24,Canvas,15,Landscape,395,5.978885765
1120,Acrylic,33.75,Acrylic, Faro Painting by Iryna Hrymalyuk,Canada,Iryna Hrymalyuk,1.38853E+12,40,139,Paper,45,Abstract,290,5.669880923
2270,Oil,1444,Oil fabric Gesso, Business & Pleasure 15 Painting by Christina Massey,United States,Christina Massey,1.29384E+12,60,73,Canvas Soft (Yarn Cotton Fabric),23,Abstract,8100,8.999619341
1075,Acrylic,3268.54,Acrylic, Scenery Painting by Heekyoung Jeon,South Korea,Heekyoung Jeon,1.28304E+12,11,6,Canvas Other,35,Landscape,11000,9.305650552
1281,Acrylic and Gesso,1296,Acrylic Gesso, Black Ash III Painting by Peggy Lee,United States,Peggy Lee,1.43044E+12,59,229,Canvas,57,Abstract,3450,8.14612951
490,Watercolor,666.19,Watercolor, Base Painting by Choin Im,South Korea,Choin Im,1.3684E+12,103,50,Other,10,Landscape,1540,7.339537695
4658,Acrylic and oil,2973.6,Acrylic oil, surrounding buildings Painting by Cécile van Hanja,Netherlands,Cécile van Hanja,1.2623E+12,120,695,Canvas,88,Architecture,5210,8.558335135
2657,Oil,192,Oil, ID#28 Painting by Zin Lim,United States,Zin Lim,1.45161E+12,132,1491,Canvas,72,Portrait,1740,7.461640392
601,Oil,1241.1,Oil, Beyond Painting by Helen Butler,United Kingdom,Helen Butler,1.45161E+12,38,216,Canvas,45,Abstract,2810,7.940939762
605,Acrylic and Oil,178.98,Acrylic Oil, Vista (17) Painting by Ad van Riel,Netherlands,Ad van Riel,1.40547E+12,207,327,Cardboard,9,Abstract,830,6.721425701
268,Acrylic,432,Acrylic, Pastorale No. 2 Painting by Gerald Lishka,United States,Gerald Lishka,1.3881E+12,51,3,Wood,6,Landscape,1790,7.489970899
133,Watercolor,500,Watercolor, DEPTH OF NATURE Painting by Rajaram jagtap,India,Rajaram jagtap,1.45161E+12,1,2,Paper,6,Landscape,6550,8.787220329
593,Oil,1296,Oil paper Gesso, Abstract # 90 Painting by Ted Meyer,United States,Ted Meyer,1.42785E+12,26,7,Canvas Paper Other,21,Abstract,3500,8.160518247
2014,Oil,1087.44,Oil, Sahara Painting by Khalid Alzayani,United Arab Emirates,Khalid Alzayani,1.42007E+12,97,279,Canvas,23,Abstract,1100,7.003065459
1110,Oil,1087.44,Oil, Xmas ghost Painting by Marek Hospodarsky,Czech Republic,Marek Hospodarsky,1.418E+12,145,489,Canvas,7,Places,1180,7.073269717
273,Acrylic,156.25,Acrylic, Gwynfyd Painting by elfyn lewis,United Kingdom,elfyn lewis,1.32667E+12,12,20,Other,23,Abstract,1840,7.517520851
251,Acrylic,370.52,Acrylic, Redshanks on the shore Painting by Sandra Vick,United Kingdom,Sandra Vick,1.42007E+12,35,56,Canvas,8,Animal,560,6.327936784
654,Oil,1800,Oil, Red Hat Painting by Karen Wong,Canada,Karen Wong,1.42007E+12,26,194,Canvas,16,People,2710,7.904703914
456,Oil,1900,Oil Graphite oil pastel colored pencil erasure , Sailing Through the Silences Painting by Amy Hutcheson,United States,Amy Hutcheson,1.44755E+12,6,13,Paper,13,Abstract,3050,8.02289687
432,Acrylic,319.5,Acrylic, Rock Shrine #3 Painting by Akiko da Silva,Japan,Akiko da Silva,1.45161E+12,22,8,Paper,31,Abstract,345,5.843544417
192,Acrylic,309.29,Acrylic, 001 Painting by Marleen Hannon,Belgium,Marleen Hannon,1.45161E+12,5,9,Canvas,11,Abstract,600,6.396929655
